TimeStamp,Title,Desc,Lng,Lag,Postal,Station,AlertTimeStamp
2020-11-14 11:24:25,Fire: FIRE ALARM,"HARVEST DR & UNION MEETING RD; WHITPAIN; 2020-11-14 @ 11:24:25-Station:STA33;",-75.2833270,40.1505500,19422,,2020-11-14 16:30:02.012944 +0000 UTC
2020-11-14 11:22:42,EMS: RESPIRATORY EMERGENCY,"CHURCH RD & BENT RD;  CHELTENHAM; Station 358A; 2020-11-14 @ 11:22:42;",-75.1463175,40.0859891,19095, Station 358A,2020-11-14 16:30:02.012944 +0000 UTC
2020-11-14 11:20:43,EMS: GENERAL WEAKNESS,"MEADOW BROOK CT & DEAD END;  ABINGTON; Station 381; 2020-11-14 @ 11:20:43;",-75.1253492,40.1198332,, Station 381,2020-11-14 16:30:02.012944 +0000 UTC
2020-11-14 11:18:39,EMS: RESPIRATORY EMERGENCY,"BUCHERT RD & E BUCHERT RD;  DOUGLASS; Station 332; 2020-11-14 @ 11:18:39;",-75.6151247,40.2988500,19525, Station 332,2020-11-14 16:30:02.012944 +0000 UTC
2020-11-14 11:17:02,EMS: HEAD INJURY,"FLOURTOWN AVE;  SPRINGFIELD; Station 351A; 2020-11-14 @ 11:17:02;",-75.1920840,40.0821717,19038, Station 351A,2020-11-14 16:30:02.012944 +0000 UTC
2020-11-14 11:13:15,EMS: RESPIRATORY EMERGENCY,"KING ST & N FRANKLIN ST;  POTTSTOWN; Station 329; 2020-11-14 @ 11:13:15;",-75.6440859,40.2459317,19464, Station 329,2020-11-14 16:30:02.012944 +0000 UTC
2020-11-14 11:11:45,EMS: ABDOMINAL PAINS,"JOHN RUSSELL CIR & COMPOUND 28;  CHELTENHAM; Station 358; 2020-11-14 @ 11:11:45;",-75.1370254,40.0812601,, Station 358,2020-11-14 16:30:02.012944 +0000 UTC
2020-11-14 10:54:18,EMS: RESPIRATORY EMERGENCY,"WALNUT ST & S 2ND ST;  NORTH WALES; Station 345B; 2020-11-14 @ 10:54:18;",-75.2779332,40.2115243,19454, Station 345B,2020-11-14 16:30:02.012944 +0000 UTC
2020-11-14 10:47:26,EMS: VEHICLE ACCIDENT,"BRYN MAWR AVE & WELDON LN;  DELAWARE COUNTY; Station EMS; 2020-11-14 @ 10:47:26;",-75.3320973,40.0159012,19010, Station EMS,2020-11-14 16:30:02.012944 +0000 UTC
2020-11-14 10:38:05,EMS: MEDICAL ALERT ALARM,"WOODLAND AVE & SAW MILL LN;  HORSHAM; Station 352; 2020-11-14 @ 10:38:05;",-75.1421126,40.1819414,19044, Station 352,2020-11-14 16:30:02.012944 +0000 UTC
2020-11-14 10:28:47,EMS: UNCONSCIOUS SUBJECT,"COUNTY LINE RD & MEETINGHOUSE RD;  HORSHAM; Station 352; 2020-11-14 @ 10:28:47;",-75.1160348,40.1977430,19040, Station 352,2020-11-14 16:30:02.012944 +0000 UTC
2020-11-14 10:25:21,EMS: FALL VICTIM,"MORELAND AVE & S YORK RD;  HATBORO; Station 384; 2020-11-14 @ 10:25:21;",-75.1061958,40.1772723,19040, Station 384,2020-11-14 16:30:02.012944 +0000 UTC
2020-11-14 11:24:32,Traffic: VEHICLE ACCIDENT -,"ROLAND ST & CHESTNUT ST; POTTSTOWN; 2020-11-14 @ 11:24:32;",-75.6211576,40.2455972,19464,,2020-11-14 16:30:02.012944 +0000 UTC
2020-11-14 11:23:01,Traffic: VEHICLE ACCIDENT -,"3RD ST & MAIN ST; EAST GREENVILLE; 2020-11-14 @ 11:23:01;",-75.5018423,40.4056318,18041,,2020-11-14 16:30:02.012944 +0000 UTC
2020-11-14 11:22:24,Traffic: VEHICLE ACCIDENT -,"3RD ST & MAIN ST; EAST GREENVILLE; 2020-11-14 @ 11:22:24;",-75.5018423,40.4056318,18041,,2020-11-14 16:30:02.012944 +0000 UTC
2020-11-14 11:08:38,Traffic: VEHICLE ACCIDENT -,"SWAMP PIKE & S WERSTLER AVE; DOUGLASS; 2020-11-14 @ 11:08:38;",-75.6055741,40.3139241,19525,,2020-11-14 16:30:02.012944 +0000 UTC
2020-11-14 10:48:49,Traffic: VEHICLE ACCIDENT -,"COUNTY LINE RD & SHOEMAKER RD; UPPER MORELAND; 2020-11-14 @ 10:48:49;",-75.0686708,40.1695156,19006,,2020-11-14 16:30:02.012944 +0000 UTC
2020-11-14 11:24:25,Fire: FIRE ALARM,"HARVEST DR & UNION MEETING RD; WHITPAIN; 2020-11-14 @ 11:24:25-Station:STA33;",-75.2833270,40.1505500,19422,,2020-11-14 16:29:02.376517 +0000 UTC
2020-11-14 11:22:42,EMS: RESPIRATORY EMERGENCY,"CHURCH RD & BENT RD;  CHELTENHAM; Station 358A; 2020-11-14 @ 11:22:42;",-75.1463175,40.0859891,19095, Station 358A,2020-11-14 16:29:02.376517 +0000 UTC
2020-11-14 11:20:43,EMS: GENERAL WEAKNESS,"MEADOW BROOK CT & DEAD END;  ABINGTON; Station 381; 2020-11-14 @ 11:20:43;",-75.1253492,40.1198332,, Station 381,2020-11-14 16:29:02.376517 +0000 UTC
2020-11-14 11:18:39,EMS: RESPIRATORY EMERGENCY,"BUCHERT RD & E BUCHERT RD;  DOUGLASS; Station 332; 2020-11-14 @ 11:18:39;",-75.6151247,40.2988500,19525, Station 332,2020-11-14 16:29:02.376517 +0000 UTC
2020-11-14 11:17:02,EMS: HEAD INJURY,"FLOURTOWN AVE;  SPRINGFIELD; Station 351A; 2020-11-14 @ 11:17:02;",-75.1920840,40.0821717,19038, Station 351A,2020-11-14 16:29:02.376517 +0000 UTC
2020-11-14 11:13:15,EMS: RESPIRATORY EMERGENCY,"KING ST & N FRANKLIN ST;  POTTSTOWN; Station 329; 2020-11-14 @ 11:13:15;",-75.6440859,40.2459317,19464, Station 329,2020-11-14 16:29:02.376517 +0000 UTC
2020-11-14 11:11:45,EMS: ABDOMINAL PAINS,"JOHN RUSSELL CIR & COMPOUND 28;  CHELTENHAM; Station 358; 2020-11-14 @ 11:11:45;",-75.1370254,40.0812601,, Station 358,2020-11-14 16:29:02.376517 +0000 UTC
2020-11-14 10:54:18,EMS: RESPIRATORY EMERGENCY,"WALNUT ST & S 2ND ST;  NORTH WALES; Station 345B; 2020-11-14 @ 10:54:18;",-75.2779332,40.2115243,19454, Station 345B,2020-11-14 16:29:02.376517 +0000 UTC
2020-11-14 10:47:26,EMS: VEHICLE ACCIDENT,"BRYN MAWR AVE & WELDON LN;  DELAWARE COUNTY; Station EMS; 2020-11-14 @ 10:47:26;",-75.3320973,40.0159012,19010, Station EMS,2020-11-14 16:29:02.376517 +0000 UTC
2020-11-14 10:38:05,EMS: MEDICAL ALERT ALARM,"WOODLAND AVE & SAW MILL LN;  HORSHAM; Station 352; 2020-11-14 @ 10:38:05;",-75.1421126,40.1819414,19044, Station 352,2020-11-14 16:29:02.376517 +0000 UTC
2020-11-14 10:28:47,EMS: UNCONSCIOUS SUBJECT,"COUNTY LINE RD & MEETINGHOUSE RD;  HORSHAM; Station 352; 2020-11-14 @ 10:28:47;",-75.1160348,40.1977430,19040, Station 352,2020-11-14 16:29:02.376517 +0000 UTC
2020-11-14 10:25:21,EMS: FALL VICTIM,"MORELAND AVE & S YORK RD;  HATBORO; Station 384; 2020-11-14 @ 10:25:21;",-75.1061958,40.1772723,19040, Station 384,2020-11-14 16:29:02.376517 +0000 UTC
2020-11-14 11:24:32,Traffic: VEHICLE ACCIDENT -,"ROLAND ST & CHESTNUT ST; POTTSTOWN; 2020-11-14 @ 11:24:32;",-75.6211576,40.2455972,19464,,2020-11-14 16:29:02.376517 +0000 UTC
2020-11-14 11:23:01,Traffic: VEHICLE ACCIDENT -,"3RD ST & MAIN ST; EAST GREENVILLE; 2020-11-14 @ 11:23:01;",-75.5018423,40.4056318,18041,,2020-11-14 16:29:02.376517 +0000 UTC
2020-11-14 11:22:24,Traffic: VEHICLE ACCIDENT -,"3RD ST & MAIN ST; EAST GREENVILLE; 2020-11-14 @ 11:22:24;",-75.5018423,40.4056318,18041,,2020-11-14 16:29:02.376517 +0000 UTC
2020-11-14 11:08:38,Traffic: VEHICLE ACCIDENT -,"SWAMP PIKE & S WERSTLER AVE; DOUGLASS; 2020-11-14 @ 11:08:38;",-75.6055741,40.3139241,19525,,2020-11-14 16:29:02.376517 +0000 UTC
2020-11-14 10:48:49,Traffic: VEHICLE ACCIDENT -,"COUNTY LINE RD & SHOEMAKER RD; UPPER MORELAND; 2020-11-14 @ 10:48:49;",-75.0686708,40.1695156,19006,,2020-11-14 16:29:02.376517 +0000 UTC
2020-11-14 11:24:25,Fire: FIRE ALARM,"HARVEST DR & UNION MEETING RD; WHITPAIN; 2020-11-14 @ 11:24:25-Station:STA33;",-75.2833270,40.1505500,19422,,2020-11-14 16:28:02.578022 +0000 UTC
2020-11-14 11:22:42,EMS: RESPIRATORY EMERGENCY,"CHURCH RD & BENT RD;  CHELTENHAM; Station 358A; 2020-11-14 @ 11:22:42;",-75.1463175,40.0859891,19095, Station 358A,2020-11-14 16:28:02.578022 +0000 UTC
2020-11-14 11:20:43,EMS: GENERAL WEAKNESS,"MEADOW BROOK CT & DEAD END;  ABINGTON; Station 381; 2020-11-14 @ 11:20:43;",-75.1253492,40.1198332,, Station 381,2020-11-14 16:28:02.578022 +0000 UTC
2020-11-14 11:18:39,EMS: RESPIRATORY EMERGENCY,"BUCHERT RD & E BUCHERT RD;  DOUGLASS; Station 332; 2020-11-14 @ 11:18:39;",-75.6151247,40.2988500,19525, Station 332,2020-11-14 16:28:02.578022 +0000 UTC
2020-11-14 11:17:02,EMS: HEAD INJURY,"FLOURTOWN AVE;  SPRINGFIELD; Station 351A; 2020-11-14 @ 11:17:02;",-75.1920840,40.0821717,19038, Station 351A,2020-11-14 16:28:02.578022 +0000 UTC
2020-11-14 11:13:15,EMS: RESPIRATORY EMERGENCY,"KING ST & N FRANKLIN ST;  POTTSTOWN; Station 329; 2020-11-14 @ 11:13:15;",-75.6440859,40.2459317,19464, Station 329,2020-11-14 16:28:02.578022 +0000 UTC
2020-11-14 11:11:45,EMS: ABDOMINAL PAINS,"JOHN RUSSELL CIR & COMPOUND 28;  CHELTENHAM; Station 358; 2020-11-14 @ 11:11:45;",-75.1370254,40.0812601,, Station 358,2020-11-14 16:28:02.578022 +0000 UTC
2020-11-14 10:54:18,EMS: RESPIRATORY EMERGENCY,"WALNUT ST & S 2ND ST;  NORTH WALES; Station 345B; 2020-11-14 @ 10:54:18;",-75.2779332,40.2115243,19454, Station 345B,2020-11-14 16:28:02.578022 +0000 UTC
2020-11-14 10:47:26,EMS: VEHICLE ACCIDENT,"BRYN MAWR AVE & WELDON LN;  DELAWARE COUNTY; Station EMS; 2020-11-14 @ 10:47:26;",-75.3320973,40.0159012,19010, Station EMS,2020-11-14 16:28:02.578022 +0000 UTC
2020-11-14 10:38:05,EMS: MEDICAL ALERT ALARM,"WOODLAND AVE & SAW MILL LN;  HORSHAM; Station 352; 2020-11-14 @ 10:38:05;",-75.1421126,40.1819414,19044, Station 352,2020-11-14 16:28:02.578022 +0000 UTC
2020-11-14 10:28:47,EMS: UNCONSCIOUS SUBJECT,"COUNTY LINE RD & MEETINGHOUSE RD;  HORSHAM; Station 352; 2020-11-14 @ 10:28:47;",-75.1160348,40.1977430,19040, Station 352,2020-11-14 16:28:02.578022 +0000 UTC
2020-11-14 10:25:21,EMS: FALL VICTIM,"MORELAND AVE & S YORK RD;  HATBORO; Station 384; 2020-11-14 @ 10:25:21;",-75.1061958,40.1772723,19040, Station 384,2020-11-14 16:28:02.578022 +0000 UTC
2020-11-14 11:24:32,Traffic: VEHICLE ACCIDENT -,"ROLAND ST & CHESTNUT ST; POTTSTOWN; 2020-11-14 @ 11:24:32;",-75.6211576,40.2455972,19464,,2020-11-14 16:28:02.578022 +0000 UTC
2020-11-14 11:23:01,Traffic: VEHICLE ACCIDENT -,"3RD ST & MAIN ST; EAST GREENVILLE; 2020-11-14 @ 11:23:01;",-75.5018423,40.4056318,18041,,2020-11-14 16:28:02.578022 +0000 UTC
2020-11-14 11:22:24,Traffic: VEHICLE ACCIDENT -,"3RD ST & MAIN ST; EAST GREENVILLE; 2020-11-14 @ 11:22:24;",-75.5018423,40.4056318,18041,,2020-11-14 16:28:02.578022 +0000 UTC
2020-11-14 11:08:38,Traffic: VEHICLE ACCIDENT -,"SWAMP PIKE & S WERSTLER AVE; DOUGLASS; 2020-11-14 @ 11:08:38;",-75.6055741,40.3139241,19525,,2020-11-14 16:28:02.578022 +0000 UTC
2020-11-14 10:48:49,Traffic: VEHICLE ACCIDENT -,"COUNTY LINE RD & SHOEMAKER RD; UPPER MORELAND; 2020-11-14 @ 10:48:49;",-75.0686708,40.1695156,19006,,2020-11-14 16:28:02.578022 +0000 UTC
2020-11-14 11:20:43,EMS: GENERAL WEAKNESS,"MEADOW BROOK CT & DEAD END;  ABINGTON; Station 381; 2020-11-14 @ 11:20:43;",-75.1253492,40.1198332,, Station 381,2020-11-14 16:26:01.244995 +0000 UTC
2020-11-14 11:18:39,EMS: RESPIRATORY EMERGENCY,"BUCHERT RD & E BUCHERT RD;  DOUGLASS; Station 332; 2020-11-14 @ 11:18:39;",-75.6151247,40.2988500,19525, Station 332,2020-11-14 16:26:01.244995 +0000 UTC
2020-11-14 11:17:02,EMS: HEAD INJURY,"FLOURTOWN AVE;  SPRINGFIELD; Station 351A; 2020-11-14 @ 11:17:02;",-75.1920840,40.0821717,19038, Station 351A,2020-11-14 16:26:01.244995 +0000 UTC
2020-11-14 11:13:15,EMS: RESPIRATORY EMERGENCY,"KING ST & N FRANKLIN ST;  POTTSTOWN; Station 329; 2020-11-14 @ 11:13:15;",-75.6440859,40.2459317,19464, Station 329,2020-11-14 16:26:01.244995 +0000 UTC
2020-11-14 11:11:45,EMS: ABDOMINAL PAINS,"JOHN RUSSELL CIR & COMPOUND 28;  CHELTENHAM; Station 358; 2020-11-14 @ 11:11:45;",-75.1370254,40.0812601,, Station 358,2020-11-14 16:26:01.244995 +0000 UTC
2020-11-14 10:54:18,EMS: RESPIRATORY EMERGENCY,"WALNUT ST & S 2ND ST;  NORTH WALES; Station 345B; 2020-11-14 @ 10:54:18;",-75.2779332,40.2115243,19454, Station 345B,2020-11-14 16:26:01.244995 +0000 UTC
2020-11-14 10:47:26,EMS: VEHICLE ACCIDENT,"BRYN MAWR AVE & WELDON LN;  DELAWARE COUNTY; Station EMS; 2020-11-14 @ 10:47:26;",-75.3320973,40.0159012,19010, Station EMS,2020-11-14 16:26:01.244995 +0000 UTC
2020-11-14 10:38:05,EMS: MEDICAL ALERT ALARM,"WOODLAND AVE & SAW MILL LN;  HORSHAM; Station 352; 2020-11-14 @ 10:38:05;",-75.1421126,40.1819414,19044, Station 352,2020-11-14 16:26:01.244995 +0000 UTC
2020-11-14 10:28:47,EMS: UNCONSCIOUS SUBJECT,"COUNTY LINE RD & MEETINGHOUSE RD;  HORSHAM; Station 352; 2020-11-14 @ 10:28:47;",-75.1160348,40.1977430,19040, Station 352,2020-11-14 16:26:01.244995 +0000 UTC
2020-11-14 10:25:21,EMS: FALL VICTIM,"MORELAND AVE & S YORK RD;  HATBORO; Station 384; 2020-11-14 @ 10:25:21;",-75.1061958,40.1772723,19040, Station 384,2020-11-14 16:26:01.244995 +0000 UTC
2020-11-14 11:08:38,Traffic: VEHICLE ACCIDENT -,"SWAMP PIKE & S WERSTLER AVE; DOUGLASS; 2020-11-14 @ 11:08:38;",-75.6055741,40.3139241,19525,,2020-11-14 16:26:01.244995 +0000 UTC
2020-11-14 10:48:49,Traffic: VEHICLE ACCIDENT -,"COUNTY LINE RD & SHOEMAKER RD; UPPER MORELAND; 2020-11-14 @ 10:48:49;",-75.0686708,40.1695156,19006,,2020-11-14 16:26:01.244995 +0000 UTC
